"Padang-UNP-November-2013","BRSSCM","140609125244978247586636","1995","Bengkulu - Kabupaten Bengkulu Selatan","Perempuan","Orang tua"
"Padang-UNP-November-2013","ETJBWR","140609132724718003012751","1994","Sumatera Barat - Kota Pariaman","Perempuan","Orang tua"
"Padang-UNP-November-2013","BOANDK","140609134555521423163869","1995","Sumatera Barat - Kotamadya","Perempuan","Ke-2 orang Tua"
"Padang-UNP-November-2013","GMONND","140609205805284537860285","1995","Sumatera Barat - Solok, Kota Padang","Perempuan","Orang Tua kandung"
"Padang-Bung Hatta-November-2013","UTVDVK","140611204551128275424987","1991","Sumatera Barat - Kabupaten Pesisir Selatan","Perempuan","Orang tua"
"Padang-Bung Hatta-November-2013","XKTKIK","140611211123549293410591","1984","Sumatera Barat - Kabupaten Dharmasraya","Laki","Ortu"
"Padang-Bung Hatta-November-2013","CFQWCX","140611212643618932109092","1995","Sumatera Barat - Kota Padang","Perempuan","Orang tua"
"Padang-Bung Hatta-November-2013","DRVHTU","140611214600625697220255","1994","Sumatera Barat - Kabupaten Pesisir Selatan","Perempuan","Orang tua"
"Padang-Bung Hatta-November-2013","KRQEII","140611221532808083957712","1994","Riau - Kabupaten Rokan Hulu","Perempuan","Orang tua"
"Padang-Bung Hatta-November-2013","EBFPVB","140613054647698536679241","1995","Sumatera Barat - Kota Padang","Laki","Umi"
"Padang-Bung Hatta-November-2013","QLCMKJ","140613061532179477745667","1995"," Sumatera Barat - Kota Padang","Perempuan","Orang tua"
